,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
189,Ford Fiesta,6972,5202,MK3 6JS,https://www.autotrader.co.uk/car-details/202303135188456,DT2 7LU,https://www.autotrader.co.uk/car-details/202303155262910,27000.0,74000.0,1.6,1.4,-5544.126984126985,700.7899306686566,752.994263020137
9687,Ford Fiesta,8899,6222,MK3 6JS,https://www.autotrader.co.uk/car-details/202304276754542,DT2 7LU,https://www.autotrader.co.uk/car-details/202303195398569,25120.0,78048.0,1.0,1.5,-5544.970700636943,700.7899306686566,752.994263020137
3684,Ford Fiesta,9295,6495,MK3 6JS,https://www.autotrader.co.uk/car-details/202305026905117,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057037968,45772.0,68000.0,1.6,1.2,-5546.33109033179,700.7899306686566,752.994263020137
184,Ford Fiesta,5202,2195,MK3 6JS,https://www.autotrader.co.uk/car-details/202303155262910,DT2 7LU,https://www.autotrader.co.uk/car-details/202305187502061,74000.0,156205.0,1.4,1.6,-5553.98487331081,700.7899306686566,752.994263020137
810,Ford Mondeo,7495,3700,MK3 6JS,https://www.autotrader.co.uk/car-details/202305157404704,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247738248,82800.0,100875.0,2.2,1.8,-5650.868055555556,700.7899306686566,547.8883609946737
8630,Ford Focus,8995,5250,MK3 6JS,https://www.autotrader.co.uk/car-details/202305227661445,DT2 7LU,https://www.autotrader.co.uk/car-details/202305197571500,57000.0,129026.0,1.0,1.5,-5651.489707602339,700.7899306686566,637.7089919084352
768,Ford Fiesta,5795,3440,MK3 6JS,https://www.autotrader.co.uk/car-details/202209230032719,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176383938,57097.0,103041.0,1.6,1.2,-5666.650436975674,700.7899306686566,752.994263020137
180,Ford Fiesta,5499,2195,MK3 6JS,https://www.autotrader.co.uk/car-details/202302244610134,DT2 7LU,https://www.autotrader.co.uk/car-details/202305187502061,78000.0,156205.0,1.4,1.6,-5789.59814102564,700.7899306686566,752.994263020137
2008,Ford Focus,7699,4490,MK3 6JS,https://www.autotrader.co.uk/car-details/202304146294513,DT2 7LU,https://www.autotrader.co.uk/car-details/202305036961269,51703.0,117000.0,1.6,2.0,-5809.3805001644005,700.7899306686566,637.7089919084352
3688,Ford Fiesta,9295,6390,MK3 6JS,https://www.autotrader.co.uk/car-details/202305026905117,DT2 7LU,https://www.autotrader.co.uk/car-details/202305127306082,45772.0,57578.0,1.6,1.0,-5846.861487372193,700.7899306686566,752.994263020137
8828,Ford Focus,8295,5295,MK3 6JS,https://www.autotrader.co.uk/car-details/202205115578780,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247737382,62257.0,121750.0,1.6,1.6,-5866.810157893891,700.7899306686566,637.7089919084352
8662,Ford Focus,7995,5250,MK3 6JS,https://www.autotrader.co.uk/car-details/202304156323284,DT2 7LU,https://www.autotrader.co.uk/car-details/202305197571500,59700.0,129026.0,1.5,1.5,-5932.602512562815,700.7899306686566,637.7089919084352
4343,Ford Focus,8799,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305026903591,DT2 7LU,https://www.autotrader.co.uk/car-details/202305087133995,54335.0,92800.0,2.0,1.6,-5986.270359804914,700.7899306686566,637.7089919084352
4339,Ford Focus,8799,6300,MK3 6JS,https://www.autotrader.co.uk/car-details/202305026903591,DT2 7LU,https://www.autotrader.co.uk/car-details/202304216525174,54335.0,66650.0,2.0,1.0,-6130.794147418791,700.7899306686566,637.7089919084352
50,Ford Focus,4999,2100,MK3 6JS,https://www.autotrader.co.uk/car-details/202211051408396,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157377045,70154.0,148378.0,2.0,2.0,-6131.479630527126,700.7899306686566,637.7089919084352
1899,Ford Focus,7009,4695,MK3 6JS,https://www.autotrader.co.uk/car-details/202304206483157,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257788214,45000.0,75000.0,1.6,1.0,-6170.666666666668,700.7899306686566,637.7089919084352
6500,Ford Fiesta,9490,6490,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117265138,DT2 7LU,https://www.autotrader.co.uk/car-details/202304236579238,33752.0,70300.0,1.0,1.0,-6248.518606304811,700.7899306686566,752.994263020137
63,Ford Focus,6994,3750,MK3 6JS,https://www.autotrader.co.uk/car-details/202305046985441,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237699305,38867.0,60033.0,2.0,1.6,-6263.251987547277,700.7899306686566,637.7089919084352
6097,Ford Focus,9995,7395,MK3 6JS,https://www.autotrader.co.uk/car-details/202305187503659,DT2 7LU,https://www.autotrader.co.uk/car-details/202305046994166,41000.0,62000.0,1.6,1.0,-6290.731707317073,700.7899306686566,637.7089919084352
56,Ford Focus,5045,2100,MK3 6JS,https://www.autotrader.co.uk/car-details/202305026920311,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157377045,69000.0,148378.0,2.0,2.0,-6332.945072463768,700.7899306686566,637.7089919084352
4524,Ford B-Max,8169,5495,MK3 6JS,https://www.autotrader.co.uk/car-details/202304015871121,DT2 7LU,https://www.autotrader.co.uk/car-details/202305207589801,29505.0,66000.0,1.6,1.5,-6380.260972716489,700.7899306686566,545.6490990625547
9659,Ford Fiesta,9000,6222,MK3 6JS,https://www.autotrader.co.uk/car-details/202305237707263,DT2 7LU,https://www.autotrader.co.uk/car-details/202303195398569,35931.0,78048.0,1.6,1.5,-6436.554329130833,700.7899306686566,752.994263020137
9575,Ford Fiesta,8774,6222,MK3 6JS,https://www.autotrader.co.uk/car-details/202305177486452,DT2 7LU,https://www.autotrader.co.uk/car-details/202303195398569,30881.0,78048.0,1.5,1.5,-6449.871960104919,700.7899306686566,752.994263020137
6132,Ford Focus,6899,4495,MK3 6JS,https://www.autotrader.co.uk/car-details/202305077110213,DT2 7LU,https://www.autotrader.co.uk/car-details/202305227645178,68459.0,115000.0,1.6,1.0,-6461.327217750771,700.7899306686566,637.7089919084352
8773,Ford Focus,9975,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305046993910,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237685545,64750.0,99000.0,1.6,1.5,-6490.934362934363,700.7899306686566,637.7089919084352
1976,Ford Focus,7980,4490,MK3 6JS,https://www.autotrader.co.uk/car-details/202304216524087,DT2 7LU,https://www.autotrader.co.uk/car-details/202305036961269,50000.0,117000.0,1.6,2.0,-6533.28,700.7899306686566,637.7089919084352
8756,Ford Focus,9500,5295,MK3 6JS,https://www.autotrader.co.uk/car-details/202304106137780,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247737382,48627.0,121750.0,1.0,1.6,-6580.176008184753,700.7899306686566,637.7089919084352
6524,Ford Fiesta,8989,6490,MK3 6JS,https://www.autotrader.co.uk/car-details/202304196436144,DT2 7LU,https://www.autotrader.co.uk/car-details/202304236579238,42473.0,70300.0,1.6,1.0,-6618.028394509453,700.7899306686566,752.994263020137
8765,Ford Focus,9600,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304196440466,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237685545,53757.0,99000.0,1.5,1.5,-6639.042357274401,700.7899306686566,637.7089919084352
10007,Ford Ecosport,9799,6995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304276740442,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157402255,35435.0,84349.0,1.5,1.5,-6674.604091999436,700.7899306686566,-82.30944875613238
6604,Ford Fiesta,8495,6490,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034848626,DT2 7LU,https://www.autotrader.co.uk/car-details/202304236579238,20992.0,70300.0,1.0,1.0,-6714.534108231708,700.7899306686566,752.994263020137
8822,Ford Focus,8295,5250,MK3 6JS,https://www.autotrader.co.uk/car-details/202205115578780,DT2 7LU,https://www.autotrader.co.uk/car-details/202305197571500,62257.0,129026.0,1.6,1.5,-6731.394831103329,700.7899306686566,637.7089919084352
4508,Ford B-Max,8399,5495,MK3 6JS,https://www.autotrader.co.uk/car-details/202301203446321,DT2 7LU,https://www.autotrader.co.uk/car-details/202305207589801,30289.0,66000.0,1.6,1.5,-6749.697910132392,700.7899306686566,545.6490990625547
6497,Ford Fiesta,9490,6550,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117265138,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257780029,33752.0,78600.0,1.0,1.0,-6846.527613178478,700.7899306686566,752.994263020137
6578,Ford Fiesta,8990,7395,MK3 6JS,https://www.autotrader.co.uk/car-details/202305247725659,DT2 7LU,https://www.autotrader.co.uk/car-details/202303105093738,13278.0,57000.0,1.0,1.0,-6847.040216900135,700.7899306686566,752.994263020137
8692,Ford Focus,8900,5295,MK3 6JS,https://www.autotrader.co.uk/car-details/202305127295565,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247737382,59391.0,121750.0,1.5,1.6,-6928.27117113704,700.7899306686566,637.7089919084352
192,Ford Fiesta,4990,2195,MK3 6JS,https://www.autotrader.co.uk/car-details/202303145223995,DT2 7LU,https://www.autotrader.co.uk/car-details/202305187502061,55061.0,156205.0,1.4,1.6,-6938.102343310146,700.7899306686566,752.994263020137
708,Ford Fiesta,6744,3440,MK3 6JS,https://www.autotrader.co.uk/car-details/202305257785815,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176383938,57203.0,103041.0,1.4,1.2,-6943.494362183802,700.7899306686566,752.994263020137
2011,Ford Focus,7699,4695,MK3 6JS,https://www.autotrader.co.uk/car-details/202304146294513,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257788214,51703.0,75000.0,1.6,1.0,-6972.129276831132,700.7899306686566,637.7089919084352
2033,Ford Focus,9495,5750,MK3 6JS,https://www.autotrader.co.uk/car-details/202305247747979,DT2 7LU,https://www.autotrader.co.uk/car-details/202304035930305,82000.0,76355.0,2.0,1.0,-6974.37743902439,700.7899306686566,637.7089919084352
2032,Ford Focus,9495,4490,MK3 6JS,https://www.autotrader.co.uk/car-details/202305247747979,DT2 7LU,https://www.autotrader.co.uk/car-details/202305036961269,82000.0,117000.0,2.0,2.0,-7141.280487804877,700.7899306686566,637.7089919084352
759,Ford Fiesta,7200,3470,MK3 6JS,https://www.autotrader.co.uk/car-details/202304136256389,DT2 7LU,https://www.autotrader.co.uk/car-details/202303285722328,35200.0,68000.0,1.4,1.4,-7205.681818181818,700.7899306686566,752.994263020137
6521,Ford Fiesta,8989,6550,MK3 6JS,https://www.autotrader.co.uk/car-details/202304196436144,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257780029,42473.0,78600.0,1.6,1.0,-7221.732394697809,700.7899306686566,752.994263020137
6601,Ford Fiesta,8495,6550,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034848626,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257780029,20992.0,78600.0,1.0,1.0,-7282.631478658536,700.7899306686566,752.994263020137
6462,Ford Fiesta,9995,7998,MK3 6JS,https://www.autotrader.co.uk/car-details/202304296826141,DT2 7LU,https://www.autotrader.co.uk/car-details/202305127306655,9375.0,51783.0,1.0,1.5,-7353.646293333333,700.7899306686566,752.994263020137
1900,Ford Focus,7009,3995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304206483157,DT2 7LU,https://www.autotrader.co.uk/car-details/202304296811929,45000.0,111000.0,1.6,1.6,-7434.533333333334,700.7899306686566,637.7089919084352
8757,Ford Focus,7999,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057036337,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237685545,26520.0,99000.0,1.5,1.5,-7480.995475113123,700.7899306686566,637.7089919084352
8750,Ford Focus,9500,5250,MK3 6JS,https://www.autotrader.co.uk/car-details/202304106137780,DT2 7LU,https://www.autotrader.co.uk/car-details/202305197571500,48627.0,129026.0,1.0,1.5,-7517.915287117581,700.7899306686566,637.7089919084352
648,Ford Focus,6995,3750,MK3 6JS,https://www.autotrader.co.uk/car-details/202302144253945,DT2 7LU,https://www.autotrader.co.uk/car-details/202305227639317,48000.0,114260.0,1.6,1.6,-7724.452083333334,700.7899306686566,637.7089919084352
4309,Ford Focus,7990,6300,MK3 6JS,https://www.autotrader.co.uk/car-details/202301293730387,DT2 7LU,https://www.autotrader.co.uk/car-details/202304216525174,23000.0,66650.0,1.6,1.0,-7835.721739130436,700.7899306686566,637.7089919084352
5005,Ford Grand C-Max,8077,5045,MK3 6JS,https://www.autotrader.co.uk/car-details/202302114168459,DT2 7LU,https://www.autotrader.co.uk/car-details/202304186396627,49557.0,128720.0,2.0,2.0,-7875.356458219828,700.7899306686566,61.931484476886105
1979,Ford Focus,7980,4695,MK3 6JS,https://www.autotrader.co.uk/car-details/202304216524087,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257788214,50000.0,75000.0,1.6,1.0,-7884.0,700.7899306686566,637.7089919084352
8686,Ford Focus,8900,5250,MK3 6JS,https://www.autotrader.co.uk/car-details/202305127295565,DT2 7LU,https://www.autotrader.co.uk/car-details/202305197571500,59391.0,129026.0,1.5,1.5,-7929.566769375832,700.7899306686566,637.7089919084352
2012,Ford Focus,7699,3995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304146294513,DT2 7LU,https://www.autotrader.co.uk/car-details/202304296811929,51703.0,111000.0,1.6,1.6,-7952.0337311181165,700.7899306686566,637.7089919084352
196,Ford Fiesta,6000,2195,MK3 6JS,https://www.autotrader.co.uk/car-details/202304216523214,DT2 7LU,https://www.autotrader.co.uk/car-details/202305187502061,65323.0,156205.0,1.4,1.6,-7961.43811329853,700.7899306686566,752.994263020137
