,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
5593,Citroen DS3,6250,6250,MK3 6JS,https://www.autotrader.co.uk/car-details/202304186425397,DT2 7LU,https://www.autotrader.co.uk/car-details/202304186425397,55720.0,55720.0,1.6,1.6,,416.30676721031426,334.4031870987111
6722,Citroen Grand C4 Picasso,9990,9990,MK3 6JS,https://www.autotrader.co.uk/car-details/202304256637841,DT2 7LU,https://www.autotrader.co.uk/car-details/202304256637841,44000.0,44000.0,1.6,1.6,,416.30676721031426,933.591264553687
8512,Citroen DS3,5800,5800,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097186437,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097186437,63000.0,63000.0,1.6,1.6,,416.30676721031426,334.4031870987111
9149,Citroen C3 Picasso,4490,4490,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097171988,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097171988,98000.0,98000.0,1.6,1.6,,416.30676721031426,1382.090951711205
10436,Citroen C1,5600,5600,MK3 6JS,https://www.autotrader.co.uk/car-details/202305067085473,DT2 7LU,https://www.autotrader.co.uk/car-details/202305067085473,58315.0,58315.0,1.0,1.0,,416.30676721031426,677.7478629675197
10492,Citroen C4 Cactus,8290,8290,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057033235,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057033235,44456.0,44456.0,1.2,1.2,,416.30676721031426,319.2376486966753
10497,Citroen C4 Cactus,7750,7750,MK3 6JS,https://www.autotrader.co.uk/car-details/202305187507546,DT2 7LU,https://www.autotrader.co.uk/car-details/202305187507546,67327.0,67327.0,1.6,1.6,,416.30676721031426,319.2376486966753
10503,Citroen C4 Cactus,8949,8949,MK3 6JS,https://www.autotrader.co.uk/car-details/202304206474127,DT2 7LU,https://www.autotrader.co.uk/car-details/202304206474127,46457.0,46457.0,1.6,1.6,,416.30676721031426,319.2376486966753
10504,Citroen C4 CACTUS,7990,7990,MK3 6JS,https://www.autotrader.co.uk/car-details/202304116172438,DT2 7LU,https://www.autotrader.co.uk/car-details/202304116172438,34500.0,34500.0,1.6,1.6,,416.30676721031426,
10506,Citroen C4 Picasso,9650,9650,MK3 6JS,https://www.autotrader.co.uk/car-details/202304256673353,DT2 7LU,https://www.autotrader.co.uk/car-details/202304256673353,48048.0,48048.0,1.6,1.6,,416.30676721031426,-468.41801701039344
