,name_buy,price_buy,price_sell,postcode_buy,postcode_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name,link_buy,link_sell
7384,Volvo V40,7990,8995,MK3 6JS,DT2 7LU,96000.0,74000.0,1.6,2.0,619.75,358.6075116963988,262.03525582141316,https://www.autotrader.co.uk/car-details/202302174359119,https://www.autotrader.co.uk/car-details/202303044890848
3158,Vauxhall Astra,3595,4400,MK3 6JS,DT2 7LU,93027.0,81788.0,1.4,1.6,619.2763660012683,575.9489604687036,444.76930677351464,https://www.autotrader.co.uk/car-details/202302264655868,https://www.autotrader.co.uk/car-details/202305247718840
8589,Peugeot 108,6999,7998,MK3 6JS,DT2 7LU,27561.0,17055.0,1.0,1.0,618.1903777076304,562.1199314888854,407.14888533918224,https://www.autotrader.co.uk/car-details/202305077105071,https://www.autotrader.co.uk/car-details/202304146266249
4643,Ford B-Max,6789,8450,MK3 6JS,DT2 7LU,65823.0,24492.0,1.6,1.6,618.0394694863497,722.8608854553976,253.08579668311899,https://www.autotrader.co.uk/car-details/202305067077984,https://www.autotrader.co.uk/car-details/202305257762852
1723,Fiat 500,4291,4955,MK3 6JS,DT2 7LU,69500.0,64604.0,1.2,1.2,617.2238273381295,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202305247735602,https://www.autotrader.co.uk/car-details/202305237688089
1857,Ford Fiesta,5490,6500,MK3 6JS,DT2 7LU,90000.0,55000.0,1.6,1.6,617.2222222222223,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202305257776364,https://www.autotrader.co.uk/car-details/202303155257435
4182,Ford KA,3399,5250,MK3 6JS,DT2 7LU,78000.0,26000.0,1.2,1.2,617.0,722.8608854553976,439.0823519073367,https://www.autotrader.co.uk/car-details/202303044902991,https://www.autotrader.co.uk/car-details/202304176385186
4726,SEAT Leon,6999,7495,MK3 6JS,DT2 7LU,69549.0,108000.0,1.6,2.0,616.1756459474616,714.1375920262108,820.8244305855808,https://www.autotrader.co.uk/car-details/202303295741847,https://www.autotrader.co.uk/car-details/202305097176012
2069,Ford Focus,3950,5445,MK3 6JS,DT2 7LU,124000.0,51100.0,1.6,1.6,616.0846774193549,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202305157382340,https://www.autotrader.co.uk/car-details/202305167448313
6781,Renault Megane,4499,6999,MK3 6JS,DT2 7LU,110399.0,29000.0,1.5,1.6,615.6645440628992,625.8645413490611,337.3226674127794,https://www.autotrader.co.uk/car-details/202212292825326,https://www.autotrader.co.uk/car-details/202305117254167
1935,Ford Focus,5290,5750,MK3 6JS,DT2 7LU,91281.0,76355.0,1.6,1.0,615.651449918384,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202305257774940,https://www.autotrader.co.uk/car-details/202304035930305
701,Ford Focus,4990,5795,MK3 6JS,DT2 7LU,88935.0,68000.0,1.6,1.6,615.5057064147974,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202301263641027,https://www.autotrader.co.uk/car-details/202305127297626
1110,BMW 1 Series,4495,4990,MK3 6JS,DT2 7LU,96547.0,120000.0,2.0,2.0,615.2443887433064,335.05811778751035,446.91156875323935,https://www.autotrader.co.uk/car-details/202304206492268,https://www.autotrader.co.uk/car-details/202304266703006
39,Ford Focus,2990,3750,MK3 6JS,DT2 7LU,83450.0,60033.0,1.8,1.6,615.0774715398443,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202304276751609,https://www.autotrader.co.uk/car-details/202305237699305
8844,Ford Focus,8600,9595,MK3 6JS,DT2 7LU,61912.0,57383.0,1.0,1.5,614.8090300211052,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202304136238519,https://www.autotrader.co.uk/car-details/202305207597799
7369,Volvo V40,8400,8995,MK3 6JS,DT2 7LU,57297.0,74000.0,1.6,2.0,614.7616803672095,358.6075116963988,262.03525582141316,https://www.autotrader.co.uk/car-details/202305127297302,https://www.autotrader.co.uk/car-details/202303044890848
432,Peugeot 107,2350,3490,MK3 6JS,DT2 7LU,115000.0,62000.0,1.0,1.0,614.6086956521739,562.1199314888854,824.2858348466739,https://www.autotrader.co.uk/car-details/202304196456842,https://www.autotrader.co.uk/car-details/202303165303941
7399,Ford KA,4300,5402,MK3 6JS,DT2 7LU,66363.0,37000.0,1.2,1.2,614.4086313156428,722.8608854553976,439.0823519073367,https://www.autotrader.co.uk/car-details/202305057051787,https://www.autotrader.co.uk/car-details/202305046986951
8958,Fiat 500,6399,7790,MK3 6JS,DT2 7LU,47200.0,20840.0,1.2,1.2,614.1618644067796,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202304296808207,https://www.autotrader.co.uk/car-details/202303295757745
839,Ford Fiesta,4299,5295,MK3 6JS,DT2 7LU,105680.0,57000.0,1.6,1.4,613.9504704228399,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202208229008248,https://www.autotrader.co.uk/car-details/202304226560868
8024,Vauxhall Corsa,7499,8995,MK3 6JS,DT2 7LU,55241.0,22650.0,1.4,1.4,613.392226788074,575.9489604687036,619.1279642031584,https://www.autotrader.co.uk/car-details/202304266677207,https://www.autotrader.co.uk/car-details/202305187516889
