,name_sell,link_sell,price_sell,seller_sell,year_sell,body_sell,mileage_sell,engine_sell,BHP_sell,transmission_sell,fuel_sell,owners_sell,brand_sell,postcode_sell
274,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202305036951557,6995,5.0 (8 reviews) bournemouth (26 miles),2008,Saloon,77000.0,3.0,187.0,Automatic,Diesel,,Mercedes-Benz,DT1 3GJ
275,Ford Fusion,https://www.autotrader.co.uk/car-details/202301193406969,2190,4.6 (331 reviews),2008,Hatchback,117000.0,1.4,79.0,Manual,Petrol,,Ford,DT1 3GJ
276,Mazda MX-5,https://www.autotrader.co.uk/car-details/202303155270576,5990,5.0 (10 reviews) bournemouth (25 miles),2008,Convertible,53000.0,2.0,,Manual,Petrol,2.0,Mazda,DT1 3GJ
277,BMW 3 Series,https://www.autotrader.co.uk/car-details/202208249093988,3650,bournemouth (27 miles),2008,Convertible,128446.0,3.0,,Automatic,Petrol,3.0,BMW,DT1 3GJ
278,Suzuki SX4,https://www.autotrader.co.uk/car-details/202304256639377,2790,4.8 (117 reviews),2008,SUV,81000.0,1.6,,Manual,Petrol,,Suzuki,DT1 3GJ
279,BMW X6,https://www.autotrader.co.uk/car-details/202304025882524,8695,poole (23 miles),2008,SUV,87000.0,3.0,232.0,Automatic,Diesel,,BMW,DT1 3GJ
280,Honda Civic,https://www.autotrader.co.uk/car-details/202303165314377,3490,4.8 (117 reviews),2008,Hatchback,84000.0,1.8,138.0,Manual,Petrol,,Honda,DT1 3GJ
281,Vauxhall Zafira,https://www.autotrader.co.uk/car-details/202302224520868,3490,4.8 (117 reviews),2008,MPV,56000.0,1.8,,Manual,Petrol,,Vauxhall,DT1 3GJ
282,Audi Q7,https://www.autotrader.co.uk/car-details/202305127305879,6790,4.6 (331 reviews),2008,SUV,117000.0,4.2,321.0,Automatic,Diesel,,Audi,DT1 3GJ
283,Suzuki Splash,https://www.autotrader.co.uk/car-details/202304136249539,3495,4.5 (15 reviews),2008,MPV,47000.0,1.2,,Manual,Petrol,,Suzuki,DT1 3GJ
284,SKODA Octavia,https://www.autotrader.co.uk/car-details/202301223498913,1700,4.9 (94 reviews),2008,Hatchback,111518.0,1.9,,Manual,Diesel,5.0,SKODA,DT1 3GJ
285,MINI Clubman,https://www.autotrader.co.uk/car-details/202303024807671,6495,4.5 (34 reviews) bournemouth (29 miles),2008,Estate,59000.0,1.6,,Manual,Petrol,,MINI,DT1 3GJ
286,Jaguar XF,https://www.autotrader.co.uk/car-details/202303295739250,6950,5.0 (1 review) poole (23 miles),2008,Saloon,114000.0,4.2,,Automatic,Petrol,4.0,Jaguar,DT1 3GJ
287,Vauxhall Meriva,https://www.autotrader.co.uk/car-details/202303215462752,1995,5.0 (1 review) poole (23 miles),2008,MPV,91000.0,1.4,89.0,Manual,Petrol,3.0,Vauxhall,DT1 3GJ
288,BMW X5,https://www.autotrader.co.uk/car-details/202301073052917,6250,poole (17 miles),2008,SUV,134000.0,3.0,,Automatic,Diesel,5.0,BMW,DT1 3GJ
