,name_1,link_1,price_1,seller_1,year_1,body_1,mileage_1,engine_1,BHP_1,transmission_1,fuel_1,owners_1,brand_1,postcode_1
417,Citroen Xsara Picasso,https://www.autotrader.co.uk/car-details/202304216519092,2800,4.0 (47 reviews) milton keynes (1 mile),2009,MPV,58691,1.6,110.0,Manual,Petrol,,Citroen,MK3 6JS
418,KIA Sportage,https://www.autotrader.co.uk/car-details/202211171771816,3490,4.6 (298 reviews) milton keynes (6 miles),2009,SUV,90000,2.0,138.0,Manual,Diesel,,KIA,MK3 6JS
419,Fiat Panda,https://www.autotrader.co.uk/car-details/202302013834926,2500,4.0 (47 reviews) milton keynes (1 mile),2009,Hatchback,49221,1.2,60.0,Manual,Petrol,3.0,Fiat,MK3 6JS
420,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202305047008740,2500,4.7 (34 reviews) milton keynes (4 miles),2009,Hatchback,93000,1.6,113.0,Manual,Petrol,,Vauxhall,MK3 6JS
421,Honda Jazz,https://www.autotrader.co.uk/car-details/202304186391412,4000,4.1 (44 reviews) milton keynes (1 mile),2009,Hatchback,90000,1.4,82.0,Automatic,Petrol,,Honda,MK3 6JS
422,Honda Jazz,https://www.autotrader.co.uk/car-details/202212162578273,4500,4.1 (44 reviews) milton keynes (1 mile),2009,Hatchback,66550,1.4,,Automatic,Petrol,4.0,Honda,MK3 6JS
423,Suzuki SX4,https://www.autotrader.co.uk/car-details/202302184406232,1999,4.6 (34 reviews) milton keynes (7 miles),2009,SUV,113052,1.6,,Manual,Diesel,3.0,Suzuki,MK3 6JS
424,Honda Civic,https://www.autotrader.co.uk/car-details/202303245574730,1999,3.8 (34 reviews) leighton buzzard (9 miles),2009,Hatchback,132400,2.2,138.0,Manual,Diesel,5.0,Honda,MK3 6JS
425,Volvo V50,https://www.autotrader.co.uk/car-details/202211241965734,2850,4.6 (34 reviews) milton keynes (7 miles),2009,Estate,111619,1.6,,Manual,Diesel,2.0,Volvo,MK3 6JS
426,Toyota RAV4,https://www.autotrader.co.uk/car-details/202304136254679,5489,4.9 (47 reviews) buckingham (8 miles),2009,SUV,83000,2.2,,Manual,Diesel,3.0,Toyota,MK3 6JS
427,Hyundai i20,https://www.autotrader.co.uk/car-details/202303064948611,4000,4.0 (47 reviews) milton keynes (1 mile),2009,Hatchback,27200,1.2,,Manual,Petrol,,Hyundai,MK3 6JS
428,BMW 6 Series,https://www.autotrader.co.uk/car-details/202304246619298,6399,4.7 (34 reviews) milton keynes (4 miles),2009,Coupe,101000,3.0,,Automatic,Diesel,,BMW,MK3 6JS
429,SEAT Altea,https://www.autotrader.co.uk/car-details/202303145238888,3190,4.7 (118 reviews) milton keynes (4 miles),2009,MPV,69571,1.6,,Manual,Petrol,4.0,SEAT,MK3 6JS
430,Audi A3,https://www.autotrader.co.uk/car-details/202304286772382,4399,4.3 (12 reviews) leighton buzzard (9 miles),2009,Hatchback,113000,2.0,168.0,Automatic,Diesel,,Audi,MK3 6JS
431,BMW 1 Series,https://www.autotrader.co.uk/car-details/202304176388144,3800,leighton buzzard (7 miles),2009,Hatchback,123000,2.0,,Manual,Diesel,,BMW,MK3 6JS
432,Ford Fiesta,https://www.autotrader.co.uk/car-details/202305016869985,2900,buckingham (8 miles),2009,Hatchback,87000,1.6,89.0,Manual,Diesel,,Ford,MK3 6JS
433,Ford Fiesta,https://www.autotrader.co.uk/car-details/202303064935907,3599,4.7 (34 reviews) milton keynes (4 miles),2009,Hatchback,94000,1.6,118.0,Manual,Petrol,2.0,Ford,MK3 6JS
434,Audi A5,https://www.autotrader.co.uk/car-details/202304055990362,5990,4.6 (298 reviews) milton keynes (6 miles),2009,Coupe,103000,2.0,,Manual,Diesel,,Audi,MK3 6JS
435,Hyundai i30,https://www.autotrader.co.uk/car-details/202304076073799,3490,4.8 (116 reviews) bedford (7 miles),2009,Hatchback,89000,1.4,,Manual,Petrol,,Hyundai,MK3 6JS
436,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202303165317782,5500,4.0 (47 reviews) milton keynes (1 mile),2009,Hatchback,67500,1.2,,Manual,Petrol,,Volkswagen,MK3 6JS
437,BMW Alpina D3,https://www.autotrader.co.uk/car-details/202302244595586,6259,3.7 (61 reviews) milton keynes (7 miles),2009,Saloon,89240,2.0,,Manual,Diesel,,BMW,MK3 6JS
438,Chevrolet Lacetti,https://www.autotrader.co.uk/car-details/202303175361416,2000,4.1 (44 reviews) milton keynes (1 mile),2009,Hatchback,53350,1.6,108.0,Manual,Petrol,2.0,Chevrolet,MK3 6JS
439,Audi A4,https://www.autotrader.co.uk/car-details/202303064956427,5599,4.1 (21 reviews) leighton buzzard (8 miles),2009,Saloon,75000,2.0,,Automatic,Diesel,2.0,Audi,MK3 6JS
440,Mazda MX-5,https://www.autotrader.co.uk/car-details/202302043939223,5849,4.8 (71 reviews) leighton buzzard (8 miles),2009,Convertible,73861,2.0,158.0,Manual,Petrol,2.0,Mazda,MK3 6JS
441,Renault Megane,https://www.autotrader.co.uk/car-details/202304196464926,2340,milton keynes (2 miles),2009,Coupe,62000,1.6,,Manual,Petrol,3.0,Renault,MK3 6JS
442,Volkswagen Passat,https://www.autotrader.co.uk/car-details/202304156314837,4500,4.1 (44 reviews) milton keynes (1 mile),2009,Saloon,81650,1.8,,Manual,Petrol,3.0,Volkswagen,MK3 6JS
443,BMW 5 Series,https://www.autotrader.co.uk/car-details/202212242760942,5199,4.7 (34 reviews) milton keynes (4 miles),2009,Saloon,100000,2.0,,Automatic,Diesel,,BMW,MK3 6JS
444,Ford Focus,https://www.autotrader.co.uk/car-details/202304256657977,5290,4.8 (116 reviews) bedford (7 miles),2009,Estate,81000,2.0,143.0,Automatic,Petrol,,Ford,MK3 6JS
445,Fiat 500,https://www.autotrader.co.uk/car-details/202304286779990,3995,leighton buzzard (6 miles),2009,Hatchback,58000,1.2,,Manual,Petrol,2.0,Fiat,MK3 6JS
446,Ford Fiesta,https://www.autotrader.co.uk/car-details/202302043927513,3000,4.0 (47 reviews) milton keynes (1 mile),2009,Hatchback,88664,,81.0,Manual,Petrol,,Ford,MK3 6JS
447,BMW 3 Series,https://www.autotrader.co.uk/car-details/202304226546879,9559,3.7 (61 reviews) milton keynes (7 miles),2009,Coupe,79800,3.0,,Automatic,Diesel,7.0,BMW,MK3 6JS
448,Fiat 500C,https://www.autotrader.co.uk/car-details/202303095082616,5290,4.7 (118 reviews) milton keynes (4 miles),2009,Convertible,38121,1.2,,Manual,Petrol,,Fiat,MK3 6JS
449,Subaru Impreza,https://www.autotrader.co.uk/car-details/202303275662258,3899,4.8 (71 reviews) leighton buzzard (8 miles),2009,Hatchback,84997,2.0,150.0,Manual,Petrol,,Subaru,MK3 6JS
450,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202303295743550,2390,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,110000,1.6,113.0,Manual,Petrol,,Vauxhall,MK3 6JS
