,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
1919,Ford Focus,https://www.autotrader.co.uk/car-details/202303044895742,4490,4.7 (97 reviews) aylesbury (19 miles),2012.0,Hatchback,93000.0,1.6,,Manual,Diesel,3.0,Ford,MK3 6JS
1920,Vauxhall Zafira,https://www.autotrader.co.uk/car-details/202305207588464,3375,bedford (15 miles),2012.0,MPV,97000.0,1.6,,Manual,Petrol,3.0,Vauxhall,MK3 6JS
1921,Ford S-Max,https://www.autotrader.co.uk/car-details/202305257776757,4495,4.6 (10 reviews) northampton (15 miles),2012.0,MPV,134713.0,1.6,,Manual,Diesel,3.0,Ford,MK3 6JS
1922,BMW 3 Series,https://www.autotrader.co.uk/car-details/202305057058264,7895,4.6 (47 reviews) aylesbury (15 miles),2012.0,Saloon,89996.0,2.0,163.0,Manual,Diesel,4.0,BMW,MK3 6JS
1923,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202305117278293,5495,4.5 (209 reviews) northampton (20 miles),2012.0,Hatchback,111000.0,1.4,,Manual,Petrol,,Volkswagen,MK3 6JS
1924,Volkswagen Beetle,https://www.autotrader.co.uk/car-details/202302094112211,7495,4.9 (182 reviews) wellingborough (20 miles),2012.0,Hatchback,85188.0,2.0,,Manual,Diesel,3.0,Volkswagen,MK3 6JS
1925,Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202305167437133,9100,4.7 (144 reviews),2012.0,SUV,69782.0,2.0,,Manual,Diesel,2.0,Volkswagen,MK3 6JS
1926,Hyundai i10,https://www.autotrader.co.uk/car-details/202305247733185,8489,4.9 (40 reviews),2012.0,Hatchback,16822.0,1.2,,Automatic,Petrol,,Hyundai,MK3 6JS
1927,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202301063004656,7870,4.8 (38 reviews) luton (15 miles),2012.0,Hatchback,37800.0,1.6,,Automatic,Petrol,3.0,Vauxhall,MK3 6JS
1928,Mercedes-Benz C Class,https://www.autotrader.co.uk/car-details/202303225485572,6890,4.7 (204 reviews),2012.0,Coupe,126870.0,2.1,,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1929,MINI Hatch,https://www.autotrader.co.uk/car-details/202304156325930,5995,northampton (18 miles),2012.0,Hatchback,141071.0,2.0,,Automatic,Diesel,4.0,MINI,MK3 6JS
1930,Land Rover Range Rover Evoque,https://www.autotrader.co.uk/car-details/202305197577515,8350,aylesbury (13 miles),2012.0,SUV,119317.0,2.2,,Manual,Diesel,4.0,Land,MK3 6JS
1931,Vauxhall Insignia,https://www.autotrader.co.uk/car-details/202305107195686,4900,4.3 (13 reviews) luton (15 miles),2012.0,Estate,108300.0,2.0,,Automatic,Diesel,2.0,Vauxhall,MK3 6JS
1932,Mercedes-Benz E-Class,https://www.autotrader.co.uk/car-details/202301093087394,9094,4.8 (284 reviews),2012.0,Saloon,66000.0,2.1,204.0,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1933,SKODA Octavia,https://www.autotrader.co.uk/car-details/202305057052860,4295,5.0 (82 reviews) luton (13 miles),2012.0,Estate,113995.0,1.6,103.0,Manual,Diesel,,SKODA,MK3 6JS
1934,SEAT Leon,https://www.autotrader.co.uk/car-details/202303105109058,7700,5.0 (13 reviews) ickleford (20 miles),2012.0,Hatchback,69500.0,2.0,,Automatic,Diesel,2.0,SEAT,MK3 6JS
1935,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202305127290195,6395,4.6 (9 reviews) towcester (14 miles),2012.0,Estate,102000.0,2.0,,Manual,Diesel,2.0,Volkswagen,MK3 6JS
1936,SKODA Octavia,https://www.autotrader.co.uk/car-details/202302144267316,3990,4.7 (118 reviews) milton keynes (4 miles),2012.0,Estate,133600.0,1.6,,Manual,Diesel,3.0,SKODA,MK3 6JS
1937,Hyundai Santa Fe,https://www.autotrader.co.uk/car-details/202304186428211,7490,bedford (15 miles),2012.0,SUV,76685.0,2.2,,Automatic,Diesel,2.0,Hyundai,MK3 6JS
1938,Peugeot 107,https://www.autotrader.co.uk/car-details/202305157401152,3895,aylesbury (14 miles),2012.0,Hatchback,54213.0,1.0,,Manual,Petrol,2.0,Peugeot,MK3 6JS
1939,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202303095078738,4990,4.6 (16 reviews) bedford (13 miles),2012.0,Hatchback,40241.0,1.2,,Manual,Petrol,2.0,Vauxhall,MK3 6JS
1940,Audi A6 Avant,https://www.autotrader.co.uk/car-details/202305057051732,7495,5.0 (4 reviews) tring (13 miles),2012.0,Estate,131342.0,2.0,,Automatic,Diesel,2.0,Audi,MK3 6JS
1941,Mitsubishi L200,https://www.autotrader.co.uk/car-details/202305267806662,7450,bedford (14 miles),2012.0,Pickup,101000.0,2.5,176.0,Manual,Diesel,,Mitsubishi,MK3 6JS
1942,Ford C-Max,https://www.autotrader.co.uk/car-details/202305177489031,5045,4.9 (102 reviews),2012.0,MPV,100600.0,1.0,,Manual,Petrol,3.0,Ford,MK3 6JS
1943,Mercedes-Benz C-Class,https://www.autotrader.co.uk/car-details/202305026895416,9500,5.0 (94 reviews) bedford (18 miles),2012.0,Coupe,77000.0,2.1,204.0,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1944,Vauxhall Meriva,https://www.autotrader.co.uk/car-details/202305077107244,5995,5.0 (2 reviews) shefford (17 miles),2012.0,MPV,40624.0,1.7,,Automatic,Diesel,3.0,Vauxhall,MK3 6JS
1945,Jaguar XF,https://www.autotrader.co.uk/car-details/202302164335975,6299,4.6 (116 reviews) luton (16 miles),2012.0,Saloon,129950.0,2.2,,Automatic,Diesel,,Jaguar,MK3 6JS
1946,Hyundai ix35,https://www.autotrader.co.uk/car-details/202303225502071,4499,luton (15 miles),2012.0,SUV,63400.0,1.7,,Manual,Diesel,,Hyundai,MK3 6JS
1947,Audi A3,https://www.autotrader.co.uk/car-details/202208138764659,7095,dunstable (12 miles),2012.0,Hatchback,92000.0,2.0,,Automatic,Diesel,4.0,Audi,MK3 6JS
1948,Mercedes-Benz SLK,https://www.autotrader.co.uk/car-details/202301123178768,9995,4.5 (28 reviews) northampton (19 miles),2012.0,Convertible,86000.0,2.1,,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1949,Ford KA,https://www.autotrader.co.uk/car-details/202305207600929,5000,luton (16 miles),2012.0,Hatchback,57223.0,1.2,,Manual,Petrol,5.0,Ford,MK3 6JS
1950,Peugeot 308 SW,https://www.autotrader.co.uk/car-details/202304156311996,3294,4.5 (80 reviews) luton (16 miles),2012.0,Estate,85000.0,1.6,,Manual,Diesel,2.0,Peugeot,MK3 6JS
1951,SEAT Leon,https://www.autotrader.co.uk/car-details/202303225496265,7356,5.0 (1131 reviews),2012.0,Hatchback,61530.0,2.0,140.0,Manual,Diesel,,SEAT,MK3 6JS
